,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
26,2/9/22,19:45,Premier League,Matchweek 24,Wed,Home,D,1,1,Crystal Palace,0.4,1.3,30,26652,Grant Hanley,4/4/02,Paul Tierney,Match Report,,5,1,15.7,0,0,0,2020,Norwich City
27,2/12/22,17:30,Premier League,Matchweek 25,Sat,Home,L,0,4,Manchester City,0.4,4.6,29,27010,Grant Hanley,4/3/03,Andre Marriner,Match Report,,8,3,14.4,0,0,0,2020,Norwich City
28,2/19/22,15:00,Premier League,Matchweek 26,Sat,Away,L,1,3,Liverpool,0.6,3.6,31,53135,Grant Hanley,4/3/03,Mike Dean,Match Report,,6,1,17.8,0,0,0,2020,Norwich City
29,2/25/22,20:00,Premier League,Matchweek 27,Fri,Away,L,0,2,Southampton,0.6,2.6,42,31182,Grant Hanley,4-1-4-1,Simon Hooper,Match Report,,8,1,18.1,0,0,0,2020,Norwich City
31,3/5/22,15:00,Premier League,Matchweek 28,Sat,Home,L,1,3,Brentford,1,2,60,26887,Grant Hanley,4-2-3-1,Anthony Taylor,Match Report,,15,7,18.6,0,0,0,2020,Norwich City
32,3/10/22,19:30,Premier League,Matchweek 30,Thu,Home,L,1,3,Chelsea,1,1.8,34,26684,Grant Hanley,5/3/02,Martin Atkinson,Match Report,,7,2,25.7,0,1,1,2020,Norwich City
33,3/13/22,14:00,Premier League,Matchweek 29,Sun,Away,L,1,2,Leeds United,1.5,2.5,48,36321,Ben Gibson,4/3/03,Stuart Attwell,Match Report,,12,4,18.8,1,0,0,2020,Norwich City
34,4/2/22,15:00,Premier League,Matchweek 31,Sat,Away,D,0,0,Brighton,0.4,2.8,37,31245,Grant Hanley,4-1-2-1-2◆,Simon Hooper,Match Report,,6,0,17.8,0,0,0,2020,Norwich City
35,4/10/22,14:00,Premier League,Matchweek 32,Sun,Home,W,2,0,Burnley,1.7,1.7,45,26361,Grant Hanley,4-2-3-1,Michael Oliver,Match Report,,17,6,19.4,0,0,0,2020,Norwich City
36,4/16/22,15:00,Premier League,Matchweek 33,Sat,Away,L,2,3,Manchester Utd,1.5,1.9,39,73381,Grant Hanley,4-2-3-1,Andy Madley,Match Report,,15,4,19.9,1,0,0,2020,Norwich City
37,4/23/22,15:00,Premier League,Matchweek 34,Sat,Home,L,0,3,Newcastle Utd,0.6,1.9,46,26910,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,,5,2,15.2,1,0,0,2020,Norwich City
38,4/30/22,15:00,Premier League,Matchweek 35,Sat,Away,L,0,2,Aston Villa,0.5,1.8,55,40290,Grant Hanley,4-2-3-1,John Brooks,Match Report,,9,3,21.6,0,0,0,2020,Norwich City
39,5/8/22,14:00,Premier League,Matchweek 36,Sun,Home,L,0,4,West Ham,0.8,3,37,26428,Grant Hanley,4-2-3-1,Robert Jones,Match Report,,8,2,22.2,1,0,0,2020,Norwich City
40,5/11/22,19:45,Premier League,Matchweek 21,Wed,Away,L,0,3,Leicester City,1.1,2,35,38092,Grant Hanley,4-1-4-1,Simon Hooper,Match Report,,9,5,17,0,0,0,2020,Norwich City
41,5/15/22,14:00,Premier League,Matchweek 37,Sun,Away,D,1,1,Wolves,1.1,0.9,36,31219,Grant Hanley,3/4/03,Tony Harrington,Match Report,,11,2,14.4,0,0,0,2020,Norwich City
42,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,L,0,5,Tottenham,0.5,3.4,41,27022,Grant Hanley,5/4/01,Chris Kavanagh,Match Report,,9,0,18.6,0,0,0,2020,Norwich City
0,8/14/21,15:00,Premier League,Matchweek 1,Sat,Away,L,1,3,Everton,0.8,2.4,52,38487,James Ward-Prowse,4/4/02,Andy Madley,Match Report,,6,3,15.5,0,0,0,2020,Southampton
1,8/22/21,14:00,Premier League,Matchweek 2,Sun,Home,D,1,1,Manchester Utd,0.7,1.8,37,32000,James Ward-Prowse,4/4/02,Craig Pawson,Match Report,,8,3,21.5,2,0,0,2020,Southampton
3,8/28/21,15:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Newcastle Utd,3.6,1,63,44017,James Ward-Prowse,4/4/02,Paul Tierney,Match Report,,21,5,19.2,1,1,1,2020,Southampton
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Home,D,0,0,West Ham,0.7,0.7,42,30000,James Ward-Prowse,4-1-4-1,David Coote,Match Report,,11,2,14.2,0,0,0,2020,Southampton
5,9/18/21,15:00,Premier League,Matchweek 5,Sat,Away,D,0,0,Manchester City,0.4,1,36,52698,James Ward-Prowse,4/4/02,Jonathan Moss,Match Report,,10,2,19.8,0,0,0,2020,Southampton
7,9/26/21,14:00,Premier League,Matchweek 6,Sun,Home,L,0,1,Wolves,1,1,57,28002,James Ward-Prowse,4/4/02,Andy Madley,Match Report,,18,6,20.7,1,0,0,2020,Southampton
8,10/2/21,15:00,Premier League,Matchweek 7,Sat,Away,L,1,3,Chelsea,1.3,3.3,38,40109,James Ward-Prowse,4/4/02,Martin Atkinson,Match Report,,5,1,24,0,1,1,2020,Southampton
9,10/16/21,15:00,Premier League,Matchweek 8,Sat,Home,W,1,0,Leeds United,1.9,0.2,46,30506,Oriol Romeu,4/4/02,David Coote,Match Report,,19,4,18.7,1,0,0,2020,Southampton
10,10/23/21,15:00,Premier League,Matchweek 9,Sat,Home,D,2,2,Burnley,1.6,0.7,61,29145,Oriol Romeu,4/4/02,Chris Kavanagh,Match Report,,16,4,16.9,0,0,0,2020,Southampton
12,10/30/21,15:00,Premier League,Matchweek 10,Sat,Away,W,1,0,Watford,1.8,1,60,20869,James Ward-Prowse,4/4/02,Peter Bankes,Match Report,,12,1,15,0,0,0,2020,Southampton
13,11/5/21,20:00,Premier League,Matchweek 11,Fri,Home,W,1,0,Aston Villa,0.6,0.6,56,30178,James Ward-Prowse,4/4/02,Andy Madley,Match Report,,9,3,15.6,0,0,0,2020,Southampton
14,11/20/21,15:00,Premier League,Matchweek 12,Sat,Away,L,1,2,Norwich City,1,0.5,62,26885,James Ward-Prowse,4/4/02,Martin Atkinson,Match Report,,17,5,18.8,0,0,0,2020,Southampton
15,11/27/21,15:00,Premier League,Matchweek 13,Sat,Away,L,0,4,Liverpool,1,2.9,36,53040,James Ward-Prowse,3/4/03,Andre Marriner,Match Report,,7,3,10.5,0,0,0,2020,Southampton
16,12/1/21,19:30,Premier League,Matchweek 14,Wed,Home,D,2,2,Leicester City,1.5,1.5,45,26951,James Ward-Prowse,4/4/02,Robert Jones,Match Report,,15,7,14.9,0,0,0,2020,Southampton
17,12/4/21,15:00,Premier League,Matchweek 15,Sat,Home,D,1,1,Brighton,1.6,1.6,44,28706,James Ward-Prowse,4/4/02,Anthony Taylor,Match Report,,14,4,17.6,1,0,0,2020,Southampton
18,12/11/21,15:00,Premier League,Matchweek 16,Sat,Away,L,0,3,Arsenal,0.6,1.8,39,59653,James Ward-Prowse,4/4/02,Jarred Gillett,Match Report,,11,6,22.1,3,0,0,2020,Southampton
19,12/15/21,19:30,Premier League,Matchweek 17,Wed,Away,D,2,2,Crystal Palace,0.6,1.2,41,22861,James Ward-Prowse,4/4/02,Simon Hooper,Match Report,,15,4,21.3,1,0,0,2020,Southampton
20,12/26/21,15:00,Premier League,Matchweek 19,Sun,Away,W,3,2,West Ham,1.2,1.6,44,41027,James Ward-Prowse,4-1-4-1,Kevin Friend,Match Report,,10,5,22.8,0,1,1,2020,Southampton
21,12/28/21,15:00,Premier League,Matchweek 20,Tue,Home,D,1,1,Tottenham,0.4,2.3,35,31304,James Ward-Prowse,5/3/02,Anthony Taylor,Match Report,,9,2,20.7,0,0,0,2020,Southampton
23,1/11/22,19:45,Premier League,Matchweek 18,Tue,Home,W,4,1,Brentford,1.4,0.5,48,27383,James Ward-Prowse,3/5/02,Stuart Attwell,Match Report,,12,6,17.9,0,0,0,2020,Southampton
24,1/15/22,15:00,Premier League,Matchweek 22,Sat,Away,L,1,3,Wolves,0.8,2.5,57,30057,James Ward-Prowse,3/5/02,Michael Salisbury,Match Report,,13,10,20.4,2,0,0,2020,Southampton
25,1/22/22,17:30,Premier League,Matchweek 23,Sat,Home,D,1,1,Manchester City,0.8,1.8,26,31178,James Ward-Prowse,4/4/02,Simon Hooper,Match Report,,7,3,11,0,0,0,2020,Southampton
27,2/9/22,19:45,Premier League,Matchweek 24,Wed,Away,W,3,2,Tottenham,2.2,1.4,52,54012,James Ward-Prowse,4/4/02,David Coote,Match Report,,23,9,16.8,0,0,0,2020,Southampton
28,2/12/22,12:30,Premier League,Matchweek 25,Sat,Away,D,1,1,Manchester Utd,0.8,2.1,47,73084,James Ward-Prowse,4/4/02,Stuart Attwell,Match Report,,13,4,21.1,0,0,0,2020,Southampton
29,2/19/22,15:00,Premier League,Matchweek 26,Sat,Home,W,2,0,Everton,2.5,0.3,55,31312,James Ward-Prowse,4/4/02,Andy Madley,Match Report,,19,11,15.4,1,0,0,2020,Southampton
30,2/25/22,20:00,Premier League,Matchweek 27,Fri,Home,W,2,0,Norwich City,2.6,0.6,58,31182,James Ward-Prowse,4/4/02,Simon Hooper,Match Report,,27,9,15.9,1,0,0,2020,Southampton
32,3/5/22,15:00,Premier League,Matchweek 28,Sat,Away,L,0,4,Aston Villa,1.1,2.5,62,41855,James Ward-Prowse,4/4/02,Peter Bankes,Match Report,,11,1,19.1,1,0,0,2020,Southampton
33,3/10/22,19:30,Premier League,Matchweek 21,Thu,Home,L,1,2,Newcastle Utd,1.1,0.6,67,30056,James Ward-Prowse,4/4/02,Kevin Friend,Match Report,,14,5,13.9,0,0,0,2020,Southampton
34,3/13/22,14:00,Premier League,Matchweek 29,Sun,Home,L,1,2,Watford,1.4,1.7,63,28863,James Ward-Prowse,4/4/02,Graham Scott,Match Report,,13,6,12.8,1,0,0,2020,Southampton
36,4/2/22,15:00,Premier League,Matchweek 31,Sat,Away,D,1,1,Leeds United,1.4,1.2,44,36580,James Ward-Prowse,4-3-1-2,Anthony Taylor,Match Report,,14,5,16.4,1,0,0,2020,Southampton
37,4/9/22,15:00,Premier League,Matchweek 32,Sat,Home,L,0,6,Chelsea,0.5,4.2,30,31359,James Ward-Prowse,4/4/02,Kevin Friend,Match Report,,4,1,17,0,0,0,2020,Southampton
38,4/16/22,15:00,Premier League,Matchweek 33,Sat,Home,W,1,0,Arsenal,0.8,1.7,25,31465,James Ward-Prowse,3/4/03,Peter Bankes,Match Report,,9,3,15.9,1,0,0,2020,Southampton
39,4/21/22,19:45,Premier League,Matchweek 30,Thu,Away,L,0,2,Burnley,0.9,1.5,56,17384,James Ward-Prowse,3-1-4-2,Stuart Attwell,Match Report,,11,3,15.1,1,0,0,2020,Southampton
40,4/24/22,14:00,Premier League,Matchweek 34,Sun,Away,D,2,2,Brighton,0.9,1.7,52,31335,James Ward-Prowse,4/4/02,Robert Jones,Match Report,,18,5,20.4,1,0,0,2020,Southampton
41,4/30/22,15:00,Premier League,Matchweek 35,Sat,Home,L,1,2,Crystal Palace,0.6,1.1,38,31359,James Ward-Prowse,4/4/02,Jarred Gillett,Match Report,,8,3,16.4,0,0,0,2020,Southampton
42,5/7/22,15:00,Premier League,Matchweek 36,Sat,Away,L,0,3,Brentford,1.4,2.6,59,17051,James Ward-Prowse,4/4/02,Michael Salisbury,Match Report,,19,4,18.8,2,0,0,2020,Southampton
43,5/17/22,19:45,Premier League,Matchweek 37,Tue,Home,L,1,2,Liverpool,0.1,1.3,30,31588,James Ward-Prowse,5/4/01,Martin Atkinson,Match Report,,4,2,25.2,1,0,0,2020,Southampton
44,5/22/22,16:00,Premier League,Matchweek 38,Sun,Away,L,1,4,Leicester City,1.1,3.4,49,32003,James Ward-Prowse,4/4/02,Jonathan Moss,Match Report,,6,1,18.9,1,1,1,2020,Southampton
0,8/15/21,16:30,Premier League,Matchweek 1,Sun,Home,W,1,0,Manchester City,1,1.8,35,58262,Hugo Lloris,4/3/03,Anthony Taylor,Match Report,,13,2,20.3,0,0,0,2020,Tottenham Hotspur
2,8/22/21,14:00,Premier League,Matchweek 2,Sun,Away,W,1,0,Wolves,1.7,1.7,42,30368,Hugo Lloris,4/3/03,Stuart Attwell,Match Report,,7,5,14.6,0,1,1,2020,Tottenham Hotspur
4,8/29/21,14:00,Premier League,Matchweek 3,Sun,Home,W,1,0,Watford,1,0.8,57,57672,Hugo Lloris,4/3/03,Andre Marriner,Match Report,,15,8,18.8,3,0,0,2020,Tottenham Hotspur
5,9/11/21,12:30,Premier League,Matchweek 4,Sat,Away,L,0,3,Crystal Palace,0.1,2.1,38,26000,Hugo Lloris,4-1-2-1-2◆,Jonathan Moss,Match Report,,2,1,19.1,0,0,0,2020,Tottenham Hotspur
7,9/19/21,16:30,Premier League,Matchweek 5,Sun,Home,L,0,3,Chelsea,0.5,2.1,47,60059,Hugo Lloris,4-3-2-1,Paul Tierney,Match Report,,8,2,20,1,0,0,2020,Tottenham Hotspur
9,9/26/21,16:30,Premier League,Matchweek 6,Sun,Away,L,1,3,Arsenal,1,1.1,54,59919,Hugo Lloris,4/3/03,Craig Pawson,Match Report,,10,4,16.3,0,0,0,2020,Tottenham Hotspur
11,10/3/21,14:00,Premier League,Matchweek 7,Sun,Home,W,2,1,Aston Villa,1.3,1.2,56,53076,Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,17,7,20.5,2,0,0,2020,Tottenham Hotspur
12,10/17/21,16:30,Premier League,Matchweek 8,Sun,Away,W,3,2,Newcastle Utd,1.7,0.4,64,52214,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,14,4,17.9,1,0,0,2020,Tottenham Hotspur
14,10/24/21,14:00,Premier League,Matchweek 9,Sun,Away,L,0,1,West Ham,0.7,1.3,62,59924,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,7,4,17.8,0,0,0,2020,Tottenham Hotspur
16,10/30/21,17:30,Premier League,Matchweek 10,Sat,Home,L,0,3,Manchester Utd,1,1.5,58,60356,Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,,9,0,16.6,1,0,0,2020,Tottenham Hotspur
18,11/7/21,14:00,Premier League,Matchweek 11,Sun,Away,D,0,0,Everton,0.7,0.6,55,39059,Hugo Lloris,3/4/03,Chris Kavanagh,Match Report,,8,0,19.5,0,0,0,2020,Tottenham Hotspur
19,11/21/21,16:30,Premier League,Matchweek 12,Sun,Home,W,2,1,Leeds United,2.1,1.4,43,58989,Hugo Lloris,3/4/03,Andre Marriner,Match Report,,13,4,17.5,1,0,0,2020,Tottenham Hotspur
21,12/2/21,19:30,Premier League,Matchweek 14,Thu,Home,W,2,0,Brentford,1.9,0.3,47,54202,Hugo Lloris,3/4/03,Jonathan Moss,Match Report,,11,6,9.8,0,0,0,2020,Tottenham Hotspur
22,12/5/21,14:00,Premier League,Matchweek 15,Sun,Home,W,3,0,Norwich City,1.6,1.2,41,57088,Hugo Lloris,3/4/03,Jarred Gillett,Match Report,,17,7,18.5,0,0,0,2020,Tottenham Hotspur
24,12/19/21,16:30,Premier League,Matchweek 18,Sun,Home,D,2,2,Liverpool,3,1.1,44,45421,Hugo Lloris,5/3/02,Paul Tierney,Match Report,,10,5,10.4,0,0,0,2020,Tottenham Hotspur
26,12/26/21,15:00,Premier League,Matchweek 19,Sun,Home,W,3,0,Crystal Palace,2.3,0.2,60,40539,Hugo Lloris,3/4/03,Jonathan Moss,Match Report,,17,6,14.5,0,0,0,2020,Tottenham Hotspur
27,12/28/21,15:00,Premier League,Matchweek 20,Tue,Away,D,1,1,Southampton,2.3,0.4,65,31304,Hugo Lloris,3/4/03,Anthony Taylor,Match Report,,20,10,15.8,1,1,1,2020,Tottenham Hotspur
28,1/1/22,15:00,Premier League,Matchweek 21,Sat,Away,W,1,0,Watford,2.2,0.3,74,20391,Hugo Lloris,3/4/03,Robert Jones,Match Report,,21,9,17.6,0,0,0,2020,Tottenham Hotspur
32,1/19/22,19:30,Premier League,Matchweek 17,Wed,Away,W,3,2,Leicester City,3.1,1.2,51,31986,Hugo Lloris,3/5/02,Jonathan Moss,Match Report,,27,8,16.4,1,0,0,2020,Tottenham Hotspur
33,1/23/22,16:30,Premier League,Matchweek 23,Sun,Away,L,0,2,Chelsea,0.5,1.2,36,40020,Hugo Lloris,4/4/02,Paul Tierney,Match Report,,6,3,16.6,0,0,0,2020,Tottenham Hotspur
35,2/9/22,19:45,Premier League,Matchweek 24,Wed,Home,L,2,3,Southampton,1.4,2.2,48,54012,Hugo Lloris,3/4/03,David Coote,Match Report,,8,3,15.3,0,0,0,2020,Tottenham Hotspur
36,2/13/22,14:00,Premier League,Matchweek 25,Sun,Home,L,0,2,Wolves,1.2,1.3,58,56452,Hugo Lloris,3/4/03,Kevin Friend,Match Report,,17,7,15.9,2,0,0,2020,Tottenham Hotspur
37,2/19/22,17:30,Premier League,Matchweek 26,Sat,Away,W,3,2,Manchester City,1.4,2.1,29,53201,Hugo Lloris,3/4/03,Anthony Taylor,Match Report,,6,5,15,0,0,0,2020,Tottenham Hotspur
38,2/23/22,19:30,Premier League,Matchweek 13,Wed,Away,L,0,1,Burnley,0.7,0.9,66,19488,Hugo Lloris,3/4/03,Graham Scott,Match Report,,12,2,17.4,0,0,0,2020,Tottenham Hotspur
39,2/26/22,12:30,Premier League,Matchweek 27,Sat,Away,W,4,0,Leeds United,1.9,1.5,50,36599,Hugo Lloris,3/4/03,Craig Pawson,Match Report,,15,10,14.2,0,0,0,2020,Tottenham Hotspur
41,3/7/22,20:00,Premier League,Matchweek 28,Mon,Home,W,5,0,Everton,2.5,0.2,55,59647,Hugo Lloris,3/4/03,Stuart Attwell,Match Report,,14,7,13.5,0,0,0,2020,Tottenham Hotspur
42,3/12/22,17:30,Premier League,Matchweek 29,Sat,Away,L,2,3,Manchester Utd,1.5,1,57,73458,Hugo Lloris,3/4/03,Jonathan Moss,Match Report,,9,1,19.8,1,1,1,2020,Tottenham Hotspur
43,3/16/22,19:30,Premier League,Matchweek 16,Wed,Away,W,2,0,Brighton,2.2,0.7,52,31144,Hugo Lloris,3/4/03,Robert Jones,Match Report,,17,7,19,1,0,0,2020,Tottenham Hotspur
44,3/20/22,16:30,Premier League,Matchweek 30,Sun,Home,W,3,1,West Ham,3,0.6,53,58685,Hugo Lloris,3/4/03,Anthony Taylor,Match Report,,17,4,16.6,0,0,0,2020,Tottenham Hotspur
45,4/3/22,16:30,Premier League,Matchweek 31,Sun,Home,W,5,1,Newcastle Utd,3.1,0.5,60,57553,Hugo Lloris,3/4/03,Martin Atkinson,Match Report,,19,6,16,1,0,0,2020,Tottenham Hotspur
46,4/9/22,17:30,Premier League,Matchweek 32,Sat,Away,W,4,0,Aston Villa,1.1,1.6,48,41949,Hugo Lloris,3/4/03,Graham Scott,Match Report,,11,5,18.8,0,0,0,2020,Tottenham Hotspur
47,4/16/22,12:30,Premier League,Matchweek 33,Sat,Home,L,0,1,Brighton,0.5,0.6,49,58685,Hugo Lloris,3/4/03,Craig Pawson,Match Report,,5,0,20.8,0,0,0,2020,Tottenham Hotspur
48,4/23/22,17:30,Premier League,Matchweek 34,Sat,Away,D,0,0,Brentford,0.6,0.9,56,17072,Hugo Lloris,3/4/03,Martin Atkinson,Match Report,,9,0,16.7,0,0,0,2020,Tottenham Hotspur
49,5/1/22,14:00,Premier League,Matchweek 35,Sun,Home,W,3,1,Leicester City,1.2,0.5,40,59482,Hugo Lloris,3/4/03,Jonathan Moss,Match Report,,13,7,14.2,0,0,0,2020,Tottenham Hotspur
50,5/7/22,19:45,Premier League,Matchweek 36,Sat,Away,D,1,1,Liverpool,0.9,1.3,36,53177,Hugo Lloris,3/4/03,Michael Oliver,Match Report,,8,3,17.5,0,0,0,2020,Tottenham Hotspur
51,5/12/22,19:45,Premier League,Matchweek 22,Thu,Home,W,3,0,Arsenal,2.7,0.5,57,62027,Hugo Lloris,3/4/03,Paul Tierney,Match Report,,15,5,14.3,0,1,1,2020,Tottenham Hotspur
52,5/15/22,12:00,Premier League,Matchweek 37,Sun,Home,W,1,0,Burnley,2.2,0.7,68,61729,Hugo Lloris,3/4/03,Kevin Friend,Match Report,,20,6,20.3,0,1,1,2020,Tottenham Hotspur
53,5/22/22,16:00,Premier League,Matchweek 38,Sun,Away,W,5,0,Norwich City,3.4,0.5,59,27022,Hugo Lloris,3/4/03,Chris Kavanagh,Match Report,,19,12,14.9,0,0,0,2020,Tottenham Hotspur
0,8/14/21,15:00,Premier League,Matchweek 1,Sat,Home,W,3,2,Aston Villa,1.2,1.2,38,20051,Tom Cleverley,4-1-4-1,Mike Dean,Match Report,,13,7,17.9,0,0,0,2020,Watford
1,8/21/21,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Brighton,0.5,1.3,44,29485,Tom Cleverley,4-1-4-1,Anthony Taylor,Match Report,,10,1,19.3,0,0,0,2020,Watford
3,8/29/21,14:00,Premier League,Matchweek 3,Sun,Away,L,0,1,Tottenham,0.8,1,43,57672,Craig Cathcart,4-1-4-1,Andre Marriner,Match Report,,9,2,16.3,1,0,0,2020,Watford
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Home,L,0,2,Wolves,0.2,2.2,45,20019,William Troost-Ekong,4-1-4-1,Peter Bankes,Match Report,,6,2,23.1,0,0,0,2020,Watford
5,9/18/21,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Norwich City,2.4,1,51,26649,Tom Cleverley,4-2-3-1,Robert Jones,Match Report,,12,8,13.5,0,0,0,2020,Watford
7,9/25/21,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Newcastle Utd,0.9,1.9,53,20650,Tom Cleverley,4-2-3-1,Jarred Gillett,Match Report,,15,4,21.2,1,0,0,2020,Watford
8,10/2/21,15:00,Premier League,Matchweek 7,Sat,Away,L,0,1,Leeds United,0.2,1.3,34,36261,Ben Foster,4-2-3-1,Simon Hooper,Match Report,,5,1,19.4,0,0,0,2020,Watford
9,10/16/21,12:30,Premier League,Matchweek 8,Sat,Home,L,0,5,Liverpool,0.5,3.3,25,21085,Moussa Sissoko,5/4/01,Jonathan Moss,Match Report,,6,2,18.2,0,0,0,2020,Watford
10,10/23/21,15:00,Premier League,Matchweek 9,Sat,Away,W,5,2,Everton,3.7,1.5,51,38834,Moussa Sissoko,4-1-4-1,Graham Scott,Match Report,,20,8,19.2,0,0,0,2020,Watford
11,10/30/21,15:00,Premier League,Matchweek 10,Sat,Home,L,0,1,Southampton,1,1.8,40,20869,Moussa Sissoko,4-4-1-1,Peter Bankes,Match Report,,10,3,20.2,1,0,0,2020,Watford
12,11/7/21,14:00,Premier League,Matchweek 11,Sun,Away,L,0,1,Arsenal,0.5,1.6,40,59833,Moussa Sissoko,4-1-4-1,Kevin Friend,Match Report,,7,1,19.7,0,0,0,2020,Watford
13,11/20/21,15:00,Premier League,Matchweek 12,Sat,Home,W,4,1,Manchester Utd,2.7,1.4,39,21087,Moussa Sissoko,4-1-4-1,Jonathan Moss,Match Report,,19,6,15.9,2,0,1,2020,Watford
14,11/28/21,14:00,Premier League,Matchweek 13,Sun,Away,L,2,4,Leicester City,2.8,2.1,44,32020,Moussa Sissoko,4-1-4-1,Andy Madley,Match Report,,16,4,16.4,1,1,1,2020,Watford
15,12/1/21,19:30,Premier League,Matchweek 14,Wed,Home,L,1,2,Chelsea,1,0.9,51,20388,Moussa Sissoko,4-1-4-1,David Coote,Match Report,,14,6,21.4,2,0,0,2020,Watford
16,12/4/21,17:30,Premier League,Matchweek 15,Sat,Home,L,1,3,Manchester City,0.8,3.1,23,20673,Moussa Sissoko,4-1-4-1,Simon Hooper,Match Report,,11,4,19.6,1,0,0,2020,Watford
17,12/10/21,20:00,Premier League,Matchweek 16,Fri,Away,L,1,2,Brentford,0.5,1.6,37,16861,Moussa Sissoko,4-2-3-1,Michael Oliver,Match Report,,6,2,14.9,1,0,0,2020,Watford
18,12/28/21,15:00,Premier League,Matchweek 20,Tue,Home,L,1,4,West Ham,1.6,3.6,43,20073,Moussa Sissoko,4-1-4-1,Darren England,Match Report,,14,5,15.2,0,0,0,2020,Watford
19,1/1/22,15:00,Premier League,Matchweek 21,Sat,Home,L,0,1,Tottenham,0.3,2.2,26,20391,Moussa Sissoko,4/4/02,Robert Jones,Match Report,,6,4,19,1,0,0,2020,Watford
21,1/15/22,15:00,Premier League,Matchweek 22,Sat,Away,D,1,1,Newcastle Utd,1.4,1.2,48,52223,Moussa Sissoko,4/3/03,Paul Tierney,Match Report,,18,5,19.3,2,0,0,2020,Watford
22,1/21/22,20:00,Premier League,Matchweek 23,Fri,Home,L,0,3,Norwich City,1.2,1.1,67,20782,Moussa Sissoko,4/3/03,Mike Dean,Match Report,,15,3,19.1,0,0,0,2020,Watford
23,2/5/22,18:00,Premier League,Matchweek 17,Sat,Away,D,0,0,Burnley,0.8,0.6,47,19527,Moussa Sissoko,4/4/02,Craig Pawson,Match Report,,11,5,16.3,0,0,0,2020,Watford
24,2/8/22,19:45,Premier League,Matchweek 24,Tue,Away,L,0,1,West Ham,0.3,0.8,36,59581,Moussa Sissoko,4/4/02,Martin Atkinson,Match Report,,6,1,22.6,0,0,0,2020,Watford
25,2/12/22,15:00,Premier League,Matchweek 25,Sat,Home,L,0,2,Brighton,0.5,1.6,36,20795,Moussa Sissoko,4/4/02,Jonathan Moss,Match Report,,9,1,17.4,1,0,0,2020,Watford
26,2/19/22,15:00,Premier League,Matchweek 26,Sat,Away,W,1,0,Aston Villa,1.2,1.3,41,41936,Moussa Sissoko,4/3/03,Robert Jones,Match Report,,8,4,18.1,0,0,0,2020,Watford
27,2/23/22,19:30,Premier League,Matchweek 18,Wed,Home,L,1,4,Crystal Palace,1.4,1.1,46,20012,Moussa Sissoko,4/3/03,Andre Marriner,Match Report,,8,1,13.3,0,0,0,2020,Watford
28,2/26/22,15:00,Premier League,Matchweek 27,Sat,Away,D,0,0,Manchester Utd,0.6,2.8,33,73152,Moussa Sissoko,4/3/03,Kevin Friend,Match Report,,10,2,21.7,0,0,0,2020,Watford
29,3/6/22,14:00,Premier League,Matchweek 28,Sun,Home,L,2,3,Arsenal,1,1,44,21142,Moussa Sissoko,4/3/03,Craig Pawson,Match Report,,13,7,19,2,0,0,2020,Watford
30,3/10/22,19:30,Premier League,Matchweek 19,Thu,Away,L,0,4,Wolves,0.6,0.7,34,29658,Moussa Sissoko,4/3/03,Darren England,Match Report,,9,0,21.8,2,0,0,2020,Watford
31,3/13/22,14:00,Premier League,Matchweek 29,Sun,Away,W,2,1,Southampton,1.7,1.4,37,28863,Moussa Sissoko,4/3/03,Graham Scott,Match Report,,9,5,16.9,0,0,0,2020,Watford
32,4/2/22,12:30,Premier League,Matchweek 31,Sat,Away,L,0,2,Liverpool,0.6,2.2,27,53104,Moussa Sissoko,4-1-4-1,Stuart Attwell,Match Report,,5,2,15.3,0,0,0,2020,Watford
33,4/9/22,15:00,Premier League,Matchweek 32,Sat,Home,L,0,3,Leeds United,1.1,0.7,49,20957,Moussa Sissoko,4/3/03,Andre Marriner,Match Report,,8,1,26,1,0,0,2020,Watford
34,4/16/22,15:00,Premier League,Matchweek 33,Sat,Home,L,1,2,Brentford,1.7,1.9,50,21045,Moussa Sissoko,4/3/03,Simon Hooper,Match Report,,18,4,16.3,2,0,0,2020,Watford
35,4/23/22,15:00,Premier League,Matchweek 34,Sat,Away,L,1,5,Manchester City,0.5,3.6,27,53013,Moussa Sissoko,4/3/03,Kevin Friend,Match Report,,5,2,14.5,0,0,0,2020,Watford
36,4/30/22,15:00,Premier League,Matchweek 35,Sat,Home,L,1,2,Burnley,1,1.6,47,20738,Moussa Sissoko,4/3/03,Craig Pawson,Match Report,,13,1,15.5,1,0,0,2020,Watford
